Time,V
0.00E+00,-4.12E-36
9.77E-12,2.46E-25
1.95E-11,4.52E-25
3.91E-11,5.30E-25
7.81E-11,-3.71E-25
1.56E-10,-1.41E-24
3.12E-10,-8.38E-27
6.25E-10,1.88E-25
1.25E-09,-1.66E-24
2.50E-09,-1.62E-24
1.00E-08,-7.11E-25
2.04E-08,-4.10E-25
2.31E-08,4.56E-24
2.67E-08,1.21E-24
3.38E-08,2.98E-09
3.48E-08,1.01E-08
3.56E-08,2.45E-08
3.61E-08,4.41E-08
3.67E-08,7.46E-08
3.79E-08,1.67E-07
4.02E-08,4.67E-07
4.49E-08,1.53E-06
5.42E-08,5.52E-06
7.28E-08,2.09E-05
1.10E-07,8.11E-05
1.84E-07,0.000258927
1.91E-07,0.000278665
2.03E-07,0.000326557
2.29E-07,0.000435678
2.79E-07,0.000695659
3.40E-07,0.001052023
3.58E-07,0.001181662
3.82E-07,0.001367804
4.30E-07,0.001787643
5.27E-07,0.002815365
7.20E-07,0.005606047
1.11E-06,0.01399919
1.88E-06,0.03897183
2.76E-06,0.07675144
3.10E-06,0.09465518
3.40E-06,0.112546
3.73E-06,0.1342045
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1554467
4.04E-06,0.1555183
4.04E-06,0.1555899
4.04E-06,0.1556614
4.04E-06,0.155733
4.05E-06,0.1558045
4.05E-06,0.1558761
4.05E-06,0.1559476
4.05E-06,0.1559566
4.05E-06,0.1560281
4.05E-06,0.156037
4.05E-06,0.1560381
4.05E-06,0.1560382
4.05E-06,0.1560385
4.05E-06,0.156039
4.05E-06,0.1560397
4.05E-06,0.1560404
4.05E-06,0.1560411
4.05E-06,0.1560417
4.05E-06,0.1560424
4.05E-06,0.156043
4.05E-06,0.1560438
4.05E-06,0.1560445
4.05E-06,0.1560453
4.05E-06,0.1560461
4.05E-06,0.156047
4.05E-06,0.156048
4.05E-06,0.1560481
4.05E-06,0.1560484
4.05E-06,0.156049
4.05E-06,0.1560492
4.05E-06,0.1560495
4.05E-06,0.1560501
4.05E-06,0.1560513
4.05E-06,0.1560536
4.05E-06,0.1560584
4.05E-06,0.1560679
4.05E-06,0.1560825
4.05E-06,0.156104
4.05E-06,0.1561305
4.05E-06,0.1561791
4.05E-06,0.1562694
4.05E-06,0.1564294
4.06E-06,0.1567005
4.06E-06,0.1571662
4.07E-06,0.1578715
4.09E-06,0.1589269
4.10E-06,0.1600496
4.14E-06,0.162285
4.20E-06,0.1667195
4.31E-06,0.1743617
4.49E-06,0.1863403
4.78E-06,0.2052868
5.26E-06,0.2345581
6.06E-06,0.2784446
7.04E-06,0.3265271
7.71E-06,0.3557492
8.49E-06,0.3844511
8.52E-06,0.3854108
8.52E-06,0.3854167
8.52E-06,0.3854284
8.52E-06,0.385452
8.52E-06,0.3854991
8.52E-06,0.3855933
8.52E-06,0.3856169
8.52E-06,0.3856228
8.83E-06,0.3968486
9.23E-06,0.4142589
9.64E-06,0.4355057
1.05E-05,0.4847225
1.12E-05,0.5378916
1.19E-05,0.5874151
1.22E-05,0.6157327
1.25E-05,0.6425578
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6425579
1.25E-05,0.6426472
1.25E-05,0.6427366
1.25E-05,0.6428259
1.25E-05,0.6429152
1.25E-05,0.6430045
1.25E-05,0.6430938
1.25E-05,0.6431831
1.25E-05,0.6431943
1.25E-05,0.6432835
1.25E-05,0.6432947
1.25E-05,0.6432961
1.25E-05,0.6432962
1.25E-05,0.6432965
1.25E-05,0.6432971
1.25E-05,0.6432981
1.25E-05,0.6432989
1.25E-05,0.6432998
1.25E-05,0.6433005
1.25E-05,0.6433014
1.25E-05,0.6433023
1.25E-05,0.6433032
1.25E-05,0.643304
1.25E-05,0.643305
1.25E-05,0.6433061
1.25E-05,0.6433072
1.25E-05,0.6433085
1.25E-05,0.6433086
1.25E-05,0.6433091
1.25E-05,0.6433098
1.25E-05,0.64331
1.25E-05,0.6433103
1.25E-05,0.6433111
1.25E-05,0.6433126
1.25E-05,0.6433156
1.25E-05,0.6433216
1.25E-05,0.6433335
1.25E-05,0.6433522
1.25E-05,0.6433787
1.25E-05,0.6434129
1.25E-05,0.6434773
1.25E-05,0.6435959
1.25E-05,0.6438061
1.25E-05,0.6441637
1.26E-05,0.6447819
1.26E-05,0.6455845
1.26E-05,0.6458249
1.26E-05,0.6467854
1.26E-05,0.6480631
